Cadena,UPC,Descripcion,Formato,NumTienda,NomTienda,ID TIENDA,Tiempo,OH Piezas,IT Piezas
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SUPERCITO SELECTO,807,Supercito Prado Norte Miguel Hidalgo 08-22,CHE807,2025-05-29,2.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SUPERCITO SELECTO,808,Supercito Selecto Lomas Country 08-22,CHE808,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SUPERCITO SELECTO,819,Supercito Selecto Plaza Insurgentes 08-22,CHE819,2025-05-29,5.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SUPERCITO SELECTO,821,Supercito Selecto Veracruz Costa De Oro 10-22,CHE821,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,161,Super Chedraui Mexico Bellavista 10-12,CHE161,2025-05-29,15.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,611,Chedraui Valle De Bravo 10-07,CHE611,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,658,Super Chedraui Cuernavaca Alta Tens 05-12,CHE658,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,663,Super Chedraui Puerto Morelos Centro 10-14,CHE663,2025-05-29,5.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,670,Super Chedraui Mexico Tezontle 12-15,CHE670,2025-05-29,2.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,749,Super Chedraui Puebla Explanada 11-18,CHE749,2025-05-29,9.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui,816,Super Chedraui Cosmopol Coacalco 10-22 Sears,CHE816,2025-05-29,7.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,109,Super Chedraui Selecto Interlomas Hills 08-19,CHE109,2025-05-29,10.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,182,Super Chedraui Selecto Mex. Oceania 11-21,CHE182,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,652,Super Chedraui Selecto Mex. Samara 11-11,CHE652,2025-05-29,25.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,665,Super Chedraui Selecto Cancun Zona H 10-14,CHE665,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,723,Super Chedraui Puerto Morelos Playa 11-18,CHE723,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,774,Super Chedraui Selecto Morelia Altozano 10-20,CHE774,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,78,Super Chedraui Selecto Merida Monter 11-16,CHE78,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,789,Super Chedraui Selecto Juan Pablo Ii 11-21,CHE789,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,801,Super Chedraui Selecto Playa Del Carmen 09-22,CHE801,2025-05-29,9.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,802,Super Chedraui Selecto Pto Paraiso Bcs 09-22,CHE802,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,805,Super Chedraui Selecto Parque Duraznos 08-22,CHE805,2025-05-29,5.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,814,Super Chedraui Selecto Wtc 10-22 Sears,CHE814,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,815,Super Chedraui Selecto Atizapan 11-22 Sears,CHE815,2025-05-29,4.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Super Chedraui Selecto,818,Super Chedraui Selecto Coatzacoalcos 11-22 Sears,CHE818,2025-05-29,2.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Supercito,858,Supercito Selecto La Antigua Atizapan 07-23,CHE858,2025-05-29,4.0,0.0
